Date,Open,High,Low,Close,Adj Close,Volume
2002-12-09,23.937500,24.712500,23.568750,23.818750,16.017017,15792496
2002-12-10,23.549999,24.375000,23.043751,24.162500,16.248177,9235680
2002-12-11,24.500000,24.712500,23.518749,23.793751,16.000200,10511288
2002-12-12,23.862499,24.206249,23.456249,23.712500,15.945572,10864768
2002-12-13,23.750000,23.937500,22.924999,23.262501,15.642964,16367960
2002-12-16,23.225000,23.650000,22.637501,22.762501,15.306737,11386832
2002-12-17,23.125000,23.368750,22.693750,22.900000,15.399196,10133536
2002-12-18,22.993750,24.206249,22.950001,23.875000,16.054846,23503976
2002-12-19,23.750000,23.812500,23.281250,23.625000,15.886725,8090192
2002-12-20,23.750000,24.162500,23.512501,23.987499,16.130503,12542248
2002-12-23,24.062500,24.218750,23.081249,23.237499,15.626152,8573112
2002-12-24,23.375000,23.612499,23.081249,23.506250,15.806873,5946928
2002-12-25,23.506250,23.506250,23.506250,23.506250,15.806873,0
2002-12-26,23.506250,23.962500,23.031250,23.512501,15.811080,17415336
2002-12-27,23.625000,23.875000,23.275000,23.400000,15.735431,4957344
2002-12-30,23.531250,23.531250,23.062500,23.381250,15.722818,5365096
2002-12-31,23.375000,23.806250,23.256250,23.356251,15.706011,5949960
2003-01-01,23.487499,23.718750,23.318750,23.587500,15.861508,3627712
2003-01-02,23.787500,24.125000,22.562500,22.868750,15.378196,14027816
2003-01-03,23.250000,23.462500,22.825001,22.924999,15.416007,4479264
2003-01-06,23.174999,23.174999,22.650000,22.843750,15.361376,3355768
2003-01-07,23.037500,23.375000,22.512501,22.656250,15.235284,6081448
2003-01-08,22.862499,23.000000,22.400000,22.700001,15.264709,5460784
2003-01-09,22.812500,22.975000,22.299999,22.468750,15.109211,5185600
2003-01-10,22.812500,22.950001,21.387501,21.593750,14.520810,10310688
2003-01-13,21.450001,21.656250,20.837500,21.493750,14.453559,4775728
2003-01-14,18.875000,22.237499,18.875000,21.950001,14.760368,5004016
2003-01-15,22.112499,22.225000,21.437500,21.512501,14.466173,4617656
2003-01-16,21.487499,21.625000,21.193750,21.406250,14.394718,3610912
2003-01-17,21.424999,21.424999,20.887501,21.031250,14.142557,4117864
2003-01-20,21.125000,21.187500,20.625000,20.700001,13.919798,2579616
2003-01-21,20.750000,20.937500,19.881250,20.287500,13.642418,5252216
2003-01-22,20.187500,21.125000,19.700001,20.856251,14.024872,18696656
2003-01-23,20.562500,21.000000,18.768749,20.868750,14.033277,22032664
2003-01-24,20.850000,21.162500,19.356251,19.712500,13.255749,15906656
2003-01-27,19.106251,19.437500,18.418751,18.993750,12.772420,13809080
2003-01-28,19.056250,19.762501,18.825001,19.593750,13.175900,10229864
2003-01-29,19.875000,19.875000,19.018749,19.281250,12.965758,5362400
2003-01-30,19.500000,20.350000,19.250000,19.981251,13.436477,9057664
2003-01-31,19.424999,20.549999,19.381250,20.262501,13.625605,10856512
2003-02-03,20.387501,21.437500,20.318750,21.256250,14.293850,10658240
2003-02-04,21.500000,21.650000,20.674999,20.862499,14.029072,7834904
2003-02-05,20.500000,21.093750,20.312500,20.868750,14.033277,6688984
2003-02-06,20.862499,21.125000,20.581249,21.025000,14.138349,5599768
2003-02-07,21.125000,21.712500,21.018749,21.200001,14.256029,11581368
2003-02-10,21.250000,21.250000,20.568750,20.650000,13.886180,3618968
2003-02-11,20.750000,21.000000,20.518749,20.837500,14.012265,4725856
2003-02-12,21.000000,21.125000,20.437500,20.868750,14.033277,5834944
2003-02-13,19.981251,19.981251,19.981251,19.981251,13.436477,0
2003-02-14,20.743750,20.924999,20.299999,20.443750,13.747480,3853496
2003-02-17,20.912500,21.549999,20.912500,21.424999,14.407326,8271736
2003-02-18,21.625000,21.743750,20.937500,21.000000,14.121531,5939776
2003-02-19,21.062500,21.400000,20.825001,20.931250,14.075308,4463792
2003-02-20,20.637501,21.187500,20.500000,20.993750,14.117331,4177968
2003-02-21,20.937500,21.212500,20.650000,20.793751,13.982845,3857464
2003-02-24,20.950001,21.106251,20.562500,20.625000,13.869364,3111728
2003-02-25,20.475000,20.743750,20.318750,20.525000,13.802124,4252176
